Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2018-01-01 00:00:00,85.00,121.25,2.35,23.47,14.42,13.23,8.55,1.14,110.22,3.20,5.27,0.67,NA,NA,NA,23.40,70.50,1.45,124.50,0.00,0.00,5.00,752.00,0.05
2018-01-01 01:00:00,87.75,130.00,0.93,28.40,15.88,13.60,8.05,1.15,101.75,3.43,5.58,0.95,NA,NA,NA,23.20,72.50,1.57,119.75,0.00,0.00,5.00,751.00,0.03
2018-01-01 02:00:00,78.00,127.00,1.67,21.20,12.67,13.83,7.53,1.04,103.15,3.50,5.53,0.93,NA,NA,NA,22.90,72.67,1.90,74.33,0.00,0.00,5.00,750.33,0.03
2018-01-01 03:00:00,69.00,115.00,0.80,14.60,8.42,14.85,6.90,0.89,112.37,2.85,4.35,0.50,NA,NA,NA,22.78,69.00,2.28,91.50,0.00,0.00,5.00,749.75,0.03
2018-01-01 04:00:00,63.67,103.33,1.45,14.77,8.40,12.43,7.50,0.84,107.00,2.50,2.47,0.30,NA,NA,NA,22.50,66.33,1.67,229.33,0.00,0.00,5.00,749.00,0.00
2018-01-01 05:00:00,64.75,101.00,1.47,14.78,9.10,10.48,7.88,0.80,110.23,2.38,1.50,0.28,NA,NA,NA,22.80,63.25,0.90,245.25,0.00,0.00,4.25,749.25,0.10
2018-01-01 06:00:00,65.25,95.25,1.17,24.93,13.98,10.80,6.67,0.89,101.05,2.40,1.62,0.25,NA,NA,NA,23.07,60.50,1.60,156.00,0.00,0.00,7.50,750.00,0.03
2018-01-01 07:00:00,69.00,111.00,2.03,30.73,18.00,12.33,6.67,0.91,93.97,2.77,3.57,0.37,NA,NA,NA,24.17,59.00,1.93,129.33,0.00,0.00,63.67,751.00,0.03
2018-01-01 08:00:00,68.00,121.25,1.73,24.65,14.05,12.03,4.87,0.95,100.55,2.93,2.45,0.50,NA,NA,NA,25.68,57.75,1.35,186.75,0.00,0.00,123.25,752.25,0.10
2018-01-01 09:00:00,67.25,118.25,1.77,25.28,14.88,13.57,5.43,0.99,97.40,3.10,2.80,0.50,NA,NA,NA,27.70,54.50,1.72,129.25,0.00,0.00,200.25,753.00,0.10
2018-01-01 10:00:00,75.75,127.00,1.90,31.03,17.58,15.27,5.05,0.89,85.65,3.25,9.00,0.85,NA,NA,NA,29.20,55.00,2.03,167.75,0.00,0.00,281.75,753.00,0.10
2018-01-01 11:00:00,78.00,128.25,3.80,31.70,19.90,16.55,4.45,0.84,93.40,3.20,6.85,0.92,NA,NA,NA,28.93,54.25,3.40,158.50,0.00,0.00,288.50,752.00,0.20
2018-01-01 12:00:00,66.33,112.00,2.70,24.63,15.27,12.23,6.00,1.14,98.23,2.83,3.73,0.73,NA,NA,NA,27.13,61.33,3.50,182.00,0.00,0.00,288.33,750.33,0.13
2018-01-01 13:00:00,59.25,103.00,2.23,19.75,11.70,11.07,5.50,1.04,102.62,2.53,2.80,0.65,NA,NA,NA,26.95,64.25,3.35,230.00,0.00,0.00,271.25,748.75,0.13
2018-01-01 14:00:00,54.00,88.00,1.95,18.10,10.50,10.53,5.63,0.97,104.73,2.33,2.33,0.60,NA,NA,NA,26.20,66.67,3.37,199.67,0.00,0.00,152.67,747.67,0.13
2018-01-01 15:00:00,45.25,75.25,1.60,17.08,10.05,9.10,4.00,0.89,95.27,2.02,2.20,0.45,NA,NA,NA,25.98,66.25,3.10,163.50,0.00,0.00,116.50,746.75,0.13
2018-01-01 16:00:00,37.00,70.00,0.80,19.73,10.57,9.13,4.00,0.90,89.83,2.00,2.10,0.47,NA,NA,NA,25.70,66.00,3.17,154.67,0.00,0.00,73.33,746.67,0.13
2018-01-01 17:00:00,39.00,70.00,2.68,27.18,16.63,9.02,3.85,1.03,77.15,2.22,2.57,0.65,NA,NA,NA,24.85,69.25,2.02,161.00,0.00,0.00,8.00,747.50,0.13
2018-01-01 18:00:00,35.75,72.25,1.92,29.55,17.28,9.40,3.70,1.00,76.00,2.75,3.57,1.00,NA,NA,NA,24.78,70.75,2.10,152.25,0.00,0.00,4.25,748.75,0.05
2018-01-01 19:00:00,40.00,68.75,1.60,29.32,16.88,8.55,3.88,0.89,77.88,2.50,3.28,0.97,NA,NA,NA,24.95,64.25,2.03,147.50,0.00,0.00,4.25,749.75,0.08
2018-01-01 20:00:00,31.00,66.25,1.83,31.53,18.25,9.03,4.60,0.92,74.05,2.38,3.13,0.95,NA,NA,NA,25.05,65.75,1.65,120.50,0.00,0.00,4.00,751.25,0.13
2018-01-01 21:00:00,38.25,69.00,1.43,23.88,13.55,9.25,4.23,0.85,79.55,2.27,2.93,0.88,NA,NA,NA,24.65,68.75,2.03,158.25,0.00,0.00,4.25,752.00,0.05
2018-01-01 22:00:00,37.75,70.00,1.63,13.62,8.55,10.55,3.85,0.84,91.60,1.97,1.95,0.50,NA,NA,NA,24.15,71.25,1.98,228.75,0.00,0.00,4.25,751.75,0.10
2018-01-01 23:00:00,52.00,82.00,1.13,11.43,6.97,10.20,3.73,0.85,103.20,2.20,1.33,0.30,NA,NA,NA,23.37,70.33,2.03,129.00,0.00,0.00,4.00,751.00,0.10
2018-01-02 00:00:00,59.25,86.50,0.97,8.40,5.25,11.48,8.70,0.82,115.67,2.38,1.03,0.20,NA,NA,NA,23.03,68.50,2.17,154.75,0.00,0.00,4.00,750.50,0.13
2018-01-02 01:00:00,64.50,96.25,1.23,9.98,5.95,11.80,10.17,0.86,114.45,2.40,0.88,0.03,NA,NA,NA,22.42,69.75,1.85,130.25,0.00,0.00,4.25,749.50,0.05
2018-01-02 02:00:00,70.75,107.75,1.23,11.55,7.15,13.03,9.80,0.90,104.10,2.70,3.62,0.10,NA,NA,NA,21.17,71.75,1.60,187.50,0.00,0.00,4.50,748.25,0.00
2018-01-02 03:00:00,77.25,122.00,1.40,9.98,6.18,16.98,11.12,0.93,102.87,2.88,3.25,0.05,NA,NA,NA,20.53,73.50,1.78,197.00,0.00,0.00,4.50,748.00,0.03
2018-01-02 04:00:00,82.33,123.00,1.10,12.17,7.37,13.87,11.73,0.93,103.67,3.00,2.30,0.07,NA,NA,NA,20.13,71.33,2.23,165.00,0.00,0.00,4.67,748.00,0.00
2018-01-02 05:00:00,80.33,117.67,0.50,17.03,9.47,12.87,13.93,0.82,99.70,3.03,2.80,0.13,NA,NA,NA,20.20,60.67,1.40,157.00,0.00,0.00,4.33,748.33,0.07
2018-01-02 06:00:00,72.25,105.00,1.60,24.45,14.30,11.80,11.08,0.94,86.35,2.98,3.98,0.23,NA,NA,NA,20.35,59.00,0.80,272.50,0.00,0.00,8.75,749.50,0.03
2018-01-02 07:00:00,78.25,121.50,2.87,53.50,30.80,12.38,10.38,1.19,65.35,3.55,4.62,0.50,NA,NA,NA,22.55,59.25,0.78,311.00,0.00,0.00,77.00,751.50,0.03
2018-01-02 08:00:00,84.00,146.75,2.53,41.48,23.55,11.68,8.83,1.19,71.58,3.60,3.82,0.85,NA,NA,NA,26.30,58.25,0.57,274.50,0.00,0.00,173.50,752.75,0.08
2018-01-02 09:00:00,81.00,128.00,1.37,36.17,20.33,10.17,8.00,1.16,78.10,3.50,4.03,1.13,NA,NA,NA,28.63,56.33,1.73,151.67,0.00,0.00,287.00,753.67,0.10
2018-01-02 10:00:00,77.00,130.75,2.82,37.20,22.10,14.40,7.25,1.15,88.23,3.75,4.28,1.20,NA,NA,NA,29.60,51.50,2.45,194.75,0.00,0.00,359.00,753.50,0.10
2018-01-02 11:00:00,69.25,120.00,1.30,23.85,13.70,16.45,7.90,0.95,111.10,3.38,5.95,0.95,NA,NA,NA,28.43,50.75,3.82,159.00,0.00,0.00,392.25,752.50,0.13
2018-01-02 12:00:00,62.75,109.25,1.80,22.67,12.70,9.27,9.75,0.98,109.70,2.73,3.35,0.63,NA,NA,NA,27.90,53.25,4.27,140.75,0.00,0.00,450.00,751.00,0.25
2018-01-02 13:00:00,59.75,112.25,1.73,20.03,12.08,11.78,11.95,1.11,123.40,2.65,2.62,0.60,NA,NA,NA,28.27,53.25,3.88,148.50,0.00,0.00,404.25,749.50,0.13
2018-01-02 14:00:00,59.75,106.50,2.90,17.85,11.85,11.03,12.17,0.96,124.42,2.57,2.30,0.55,NA,NA,NA,28.85,52.00,3.17,143.25,0.00,0.00,342.25,748.25,0.15
2018-01-02 15:00:00,51.50,93.25,2.07,18.77,11.22,10.88,11.40,0.93,120.52,2.27,3.15,0.50,NA,NA,NA,28.25,52.75,2.85,148.75,0.00,0.00,215.00,748.00,0.15
2018-01-02 16:00:00,47.50,84.25,3.03,36.42,21.15,10.28,11.40,0.95,100.85,2.30,3.35,0.63,NA,NA,NA,27.10,54.50,2.05,117.75,0.00,0.00,87.25,748.00,0.13
2018-01-02 17:00:00,47.50,83.50,1.80,35.18,19.82,10.22,10.45,1.07,95.97,2.55,4.35,0.85,NA,NA,NA,25.47,57.75,1.80,134.00,0.00,0.00,13.50,748.75,0.10
2018-01-02 18:00:00,43.00,88.00,1.20,46.87,25.90,9.60,8.07,1.20,87.73,3.20,5.27,1.47,NA,NA,NA,24.90,59.33,1.53,181.00,0.00,0.00,4.00,749.33,0.10
2018-01-02 19:00:00,51.50,96.75,0.97,44.95,24.47,11.08,9.70,1.14,89.88,3.50,5.58,1.92,NA,NA,NA,24.72,61.00,1.45,185.75,0.00,0.00,4.00,751.50,0.10
